"","Id_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"246","13070","8110",NA,"15.5","15.8","9.5","33","33.6","73.5","59.5","65.9","94.3","46.8","18.2","5.4","471","1981 - 2010"
"247","13071","5110",NA,"10.2","5.3","10","17.5","41.8","78.7","58.2","64.5","127.7","36.4","11.1","6.3","467.7","1951 - 2010"
"248","13071","7100",NA,"10.2","5.3","10","17.5","41.8","78.7","58.2","64.5","127.7","36.4","11.1","6.3","467.7","1971 - 2000"
"249","13074","5110",NA,"11.7","8.1","9.1","28","49.3","55.7","54.3","40.1","52.4","20.7","4.7","8.3","342.4","1951 - 2010"
"250","13074","7100",NA,"11.7","8.1","9.1","28","49.3","55.7","54.3","40.1","52.4","20.7","4.7","8.3","342.4","1971 - 2000"
"251","13075","5110",NA,"10.2","6.4","10.8","28.7","52.2","100.6","107","95.7","94.7","48.9","13.6","7.3","576.1","1951 - 2010"
"252","13075","7100",NA,"8.8","6.6","10.6","26.8","57.7","104","109.6","95.5","95.4","47","12.6","7.2","581.8","1971 - 2000"
"253","13075","8110",NA,"10.2","10.1","10.1","29.5","47.5","93.2","108.6","85.7","97.7","48.9","12.6","5.9","560","1981 - 2010"
"254","13076","5110",NA,"9.2","5.4","11.5","17.5","33.7","96.5","95.9","100.2","91.3","32.5","7.9","6.5","508.1","1951 - 2010"
"255","13076","7100",NA,"10.6","5.4","12.4","18.1","38","95.2","103.1","97.3","89.6","33.6","9","6.5","518.8","1971 - 2000"
"256","13076","8110",NA,"8","5.8","10.6","17.3","26","79.7","84.7","89.8","78.8","30.2","10","4.2","445.1","1981 - 2010"
"257","13077","5110",NA,"8.2","4.1","7.7","20.7","31.5","70.7","53.5","58.1","103.9","43.5","13.4","3.8","419.1","1951 - 2010"
"258","13077","7100",NA,"5.2","2.5","9.6","16","32.8","69.3","50.3","56.5","85.3","45.1","8.1","4.3","385","1971 - 2000"
"259","13077","8110",NA,"4.4","5.6","6.6","20.2","24","56.4","50.9","66.7","99.8","51","11.1","3.6","400.3","1981 - 2010"
"260","13078","5110",NA,"10.5","6.4","13.3","38.3","66.7","78.2","85.7","74.6","58.2","36.7","11.5","7.3","487.4","1951 - 2010"
"261","13078","7100",NA,"10.5","6.4","13.3","38.3","66.7","78.2","85.7","74.6","58.2","36.7","11.5","7.3","487.4","1971 - 2000"
"262","13079","5110",NA,"12.9","11","12.6","33.4","43.6","65.2","63","58.3","65.8","38.8","12.7","6.9","424.2","1951 - 2010"
